seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,candidate,target_p,best_epoch_instant,best_epoch_ema,best_normalized_validation_gap_instant,best_normalized_validation_gap_ema,seconds,generator_parameters,discriminator_parameters,primary
38,vqc,final_ema,0.4180169953558691,0.0483387205072115,0.04883871711620943,0.0004999966079979323,1,339123,0.3691782782396597,1,-0.3691782782396597,0.3545898090648322,0.34594622171577893,0.01261288838244562,0.9990846330530426,0.9301858157177642,0.24321048305845522,0.0,1.0000000000000002,1.0,1.1102230246251565e-16,0.9994755004666308,1.0411418173954352,v0_d2_g5,0.6,940,1000,0.3581727200085083,0.3629481302105788,54.21281010005623,80,48,0
39,qsnn,best_ema,0.22740652292256297,0.0956060777228191,0.0961060723495193,0.0004999946257002036,1,59197,0.13130045057304368,1,-0.13130045057304368,0.29567603739336956,0.3641011097040879,0.030767776370754563,0.9949352130980772,0.8708148065760641,0.29003769896195325,0.0,0.8984420415730856,0.8904332693499892,1.1102230246251565e-16,0.4501969707857594,0.4440686223021874,q0_m90_d2_g5,0.6,1000,540,0.24535934993273673,0.3159662590986303,39.456192600075155,80,46,1
39,qsnn,final_ema,0.3162537295260865,0.09096197661629057,0.0914619721316601,0.0004999955143695223,1,82373,0.2247917573944264,1,-0.2247917573944264,0.2820324144036708,0.37836576865549204,0.045032435322158726,0.9941464047877557,0.8475906903909077,0.3379085182293251,0.0,0.9363998042767113,0.9288420386660796,1.6653345369377348e-16,0.7227321064710077,0.7970422756892181,q0_m90_d2_g5,0.6,1000,540,0.24535934993273673,0.3159662590986303,39.456192600075155,80,46,0
39,vqc,best_ema,0.4366833006822334,0.11562911524746355,0.11612911492684194,0.0004999996783783822,1,98384,0.3205541857553914,1,-0.3205541857553914,0.29818572462595033,0.37157454537574147,0.03824121204240816,0.9948510892718145,0.9305891728064726,0.2405412415750918,0.0,1.0000000000000007,1.0000000000000004,3.3306690738754696e-16,0.9994165259054231,1.0750151978519444,v0_d2_g5,0.6,880,960,0.2679981548575297,0.3210207885567085,54.41238910006359,80,48,1
39,vqc,final_ema,0.43323807235013867,0.11898339712829964,0.11948338055588781,0.0004999834265881631,1,97248,0.31375469179425086,1,-0.31375469179425086,0.2899369434912676,0.37773681175597335,0.04440347842264003,0.9953113712507025,0.9306127829195321,0.23852330998480223,0.0,1.0000000000000004,1.0000000000000004,2.220446049250313e-16,0.9989369924661324,1.0821480285202103,v0_d2_g5,0.6,880,960,0.2679981548575297,0.3210207885567085,54.41238910006359,80,48,0
20,qsnn,best_ema,0.0,0.0,0.0,0.0,1,1,0.0,0,-0.0,0.0,nan,nan,nan,0.875208339056305,0.33006430764860845,0.0,0.8104910930757449,0.8106874293406662,0.0,0.0,0.0,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.796696400037035,80,46,1
20,qsnn,final_ema,0.056548557024274505,0.06275833359075456,0.06300650303423856,0.0002481694424840003,1,300,-0.0064579460099640565,0,0.0064579460099640565,-0.3010156964886409,0.818119409105254,0.48478607577192073,0.8448630994933455,0.880097453689708,0.2904714234856963,0.0,0.8360935763336989,0.838256551670677,8.326672684688674e-17,0.06782727027996054,0.021453851361560985,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.796696400037035,80,46,0
20,vqc,best_ema,0.25411907835156183,0.3470878981113258,0.3475878949495553,0.0004999968372295105,1,41978,-0.09346881659799344,0,0.09346881659799344,-0.0909300919495349,0.45245702239303287,0.11912368905969956,0.9636004523560591,0.9238350739634702,0.20038281249489265,0.0,1.0000000000000004,1.0000000000000004,1.249000902703301e-16,0.9097245492487087,1.027919521404064,v0_d2_g5,0.36,840,920,-0.11841443541712451,-0.06363185703792366,54.046637600054964,80,48,1
20,vqc,final_ema,0.2720237881636322,0.40689311722308913,0.4073929695125845,0.0004998522884954171,1,35067,-0.13536918134895232,0,0.13536918134895232,-0.12095644052757759,0.4905656779005825,0.15723234456724916,0.9528550302727299,0.8874447867938607,0.2853764580838957,0.0,1.0000000000000004,1.0,3.3306690738754696e-16,0.9473262028714695,1.119156456311962,v0_d2_g5,0.36,840,920,-0.11841443541712451,-0.06363185703792366,54.046637600054964,80,48,0
21,qsnn,best_ema,0.0,0.0,0.0,0.0,1,1,0.0,0,-0.0,0.0,nan,nan,nan,0.7946136343631722,0.3957233542401944,0.0,0.8110388405685952,0.8112807277644303,0.0,0.0,0.0,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.21445020008832,80,46,1
21,qsnn,final_ema,0.10216710915977698,0.10538273755749523,0.10588257779149715,0.0004998402330019108,1,2820,-0.0037154686317201757,0,0.0037154686317201757,-0.08989870461853572,0.43879170890083496,0.10545837556750165,0.9835110542413028,0.8514256194096642,0.34261552357598546,0.0,0.8400216901678661,0.8391090809568578,1.1102230246251565e-16,0.13263197281328692,0.0413295013258078,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.21445020008832,80,46,0
21,vqc,best_ema,0.3377085596251422,0.413898941589674,0.41439892310193543,0.0004999815112614603,1,44764,-0.07669036347679326,0,0.07669036347679326,-0.07875989214816549,0.4392945732412411,0.10596123990790779,0.9687217740782804,0.9292177893012016,0.2504612538159426,0.0,1.0000000000000002,1.0,4.440892098500626e-16,0.9623871045167824,0.9737235715422391,v0_d2_g5,0.36,340,900,-0.12656611617909522,-0.05986364184435068,53.83511579991318,80,48,1
