target_p,model,seed,candidate,variant,shots_per_pauli,repetitions,true_witness_expectation,theoretical_standard_error,mean_estimate,empirical_standard_deviation,certification_probability
0.6,qsnn,33,q0_m90_d2_g5,best_ema,500,2000,-0.1415243906571878,0.012444621790136568,-0.14159648626066126,0.012632166122872789,1.0
0.6,qsnn,33,q0_m90_d2_g5,best_ema,1000,2000,-0.1415243906571878,0.00879967645710744,-0.14125950575907434,0.008714850023529234,1.0
0.6,qsnn,33,q0_m90_d2_g5,best_ema,5000,2000,-0.1415243906571878,0.00393533494761935,-0.14142628563558218,0.003927316744473316,1.0
0.6,qsnn,33,q0_m90_d2_g5,best_ema,10000,2000,-0.1415243906571878,0.0027827020277020487,-0.1415552667366021,0.002824832717988017,1.0
0.6,vqc,33,v0_d2_g5,best_ema,100,2000,-0.3048907713395125,0.06089242036990736,-0.30516025715965384,0.05974224612884215,0.9995
0.6,vqc,33,v0_d2_g5,best_ema,500,2000,-0.3048907713395125,0.027231918252321147,-0.30563583434808267,0.027434192308935682,1.0
0.6,vqc,33,v0_d2_g5,best_ema,1000,2000,-0.3048907713395125,0.019255874060934,-0.30459443800499253,0.019285319698269587,1.0
0.6,vqc,33,v0_d2_g5,best_ema,5000,2000,-0.3048907713395125,0.008611488673284672,-0.30492491696633034,0.00849426327189397,1.0
0.6,vqc,33,v0_d2_g5,best_ema,10000,2000,-0.3048907713395125,0.006089242036990736,-0.30492292791549014,0.006023039815800686,1.0
0.6,qsnn,34,q0_m90_d2_g5,best_ema,100,2000,-0.14145579401660863,0.02995025405694647,-0.14130630132097496,0.029993096204792614,0.995
0.6,qsnn,34,q0_m90_d2_g5,best_ema,500,2000,-0.14145579401660863,0.013394160802944232,-0.141662617352802,0.013367599710515094,1.0
0.6,qsnn,34,q0_m90_d2_g5,best_ema,1000,2000,-0.14145579401660863,0.00947110193206492,-0.14134238476120295,0.009187754951019643,1.0
0.6,qsnn,34,q0_m90_d2_g5,best_ema,5000,2000,-0.14145579401660863,0.004235605548385351,-0.14136842139090577,0.004263881723145041,1.0
0.6,qsnn,34,q0_m90_d2_g5,best_ema,10000,2000,-0.14145579401660863,0.002995025405694647,-0.14142665233995472,0.002991184742093891,1.0
0.6,vqc,34,v0_d2_g5,best_ema,100,2000,-0.34797782936622734,0.06602323966985063,-0.348140140997615,0.06827500813184643,0.9995
0.6,vqc,34,v0_d2_g5,best_ema,500,2000,-0.34797782936622734,0.029526490399309355,-0.3471057295145469,0.029688515307290737,1.0
0.6,vqc,34,v0_d2_g5,best_ema,1000,2000,-0.34797782936622734,0.020878381585991135,-0.3482312009819544,0.020912129497615818,1.0
0.6,vqc,34,v0_d2_g5,best_ema,5000,2000,-0.34797782936622734,0.009337096097291211,-0.3484136133510452,0.009222205806084433,1.0
0.6,vqc,34,v0_d2_g5,best_ema,10000,2000,-0.34797782936622734,0.0066023239669850626,-0.34807613090038,0.006642756536004936,1.0
0.6,qsnn,35,q0_m90_d2_g5,best_ema,100,2000,-0.14171092103816813,0.027938716374707902,-0.14300124348445603,0.02822245719998007,0.998
0.6,qsnn,35,q0_m90_d2_g5,best_ema,500,2000,-0.14171092103816813,0.012494573803586673,-0.1413726415444654,0.012871668624262618,1.0
0.6,qsnn,35,q0_m90_d2_g5,best_ema,1000,2000,-0.14171092103816813,0.00883499786455193,-0.1417876439650987,0.008854739042212524,1.0
0.6,qsnn,35,q0_m90_d2_g5,best_ema,5000,2000,-0.14171092103816813,0.003951131161240719,-0.14172192018756646,0.003951223116540272,1.0
0.6,qsnn,35,q0_m90_d2_g5,best_ema,10000,2000,-0.14171092103816813,0.0027938716374707904,-0.14170607433454546,0.002876929004490036,1.0
0.6,vqc,35,v0_d2_g5,best_ema,100,2000,-0.3218260037583034,0.06216155895832473,-0.32050529491895985,0.06230245681193002,0.999
0.6,vqc,35,v0_d2_g5,best_ema,500,2000,-0.3218260037583034,0.02779949428363503,-0.32111981988642535,0.02820557570146003,1.0
0.6,vqc,35,v0_d2_g5,best_ema,1000,2000,-0.3218260037583034,0.019657210921514994,-0.32177183254834196,0.01969387107444166,1.0
0.6,vqc,35,v0_d2_g5,best_ema,5000,2000,-0.3218260037583034,0.00879097197371176,-0.32163263926703645,0.008705344982680274,1.0
0.6,vqc,35,v0_d2_g5,best_ema,10000,2000,-0.3218260037583034,0.006216155895832474,-0.3219471047602882,0.005973452522742076,1.0
0.6,qsnn,36,q0_m90_d2_g5,best_ema,100,2000,-0.09991970277308945,0.019883037278581192,-0.09959565571768696,0.02026055534969745,0.999
0.6,qsnn,36,q0_m90_d2_g5,best_ema,500,2000,-0.09991970277308945,0.008891964590813995,-0.10020198633872367,0.00903943182343605,1.0
0.6,qsnn,36,q0_m90_d2_g5,best_ema,1000,2000,-0.09991970277308945,0.006287568460235241,-0.10001208618284124,0.006209953955936143,1.0
0.6,qsnn,36,q0_m90_d2_g5,best_ema,5000,2000,-0.09991970277308945,0.002811886098053936,-0.09986189697013201,0.002813198297673437,1.0
0.6,qsnn,36,q0_m90_d2_g5,best_ema,10000,2000,-0.09991970277308945,0.0019883037278581196,-0.09988235495258735,0.0019842965957751527,1.0
0.6,vqc,36,v0_d2_g5,best_ema,100,2000,-0.3145957393380998,0.06318394742828919,-0.3139191473456221,0.06204534696516046,0.9985
0.6,vqc,36,v0_d2_g5,best_ema,500,2000,-0.3145957393380998,0.028256720307285522,-0.3150426717369855,0.02772692387658845,1.0
0.6,vqc,36,v0_d2_g5,best_ema,1000,2000,-0.3145957393380998,0.01998051854337322,-0.3144133783299001,0.019528933475326103,1.0
0.6,vqc,36,v0_d2_g5,best_ema,5000,2000,-0.3145957393380998,0.00893555953773552,-0.3148953923073682,0.008854096652330981,1.0
0.6,vqc,36,v0_d2_g5,best_ema,10000,2000,-0.3145957393380998,0.006318394742828918,-0.31467027358840405,0.006352187820295151,1.0
0.6,qsnn,37,q0_m90_d2_g5,best_ema,100,2000,-0.25755618928515034,0.048565839030111656,-0.25697820393767223,0.04845351823694989,1.0
0.6,qsnn,37,q0_m90_d2_g5,best_ema,500,2000,-0.25755618928515034,0.02171930349112842,-0.25809891344646557,0.02159426439267976,1.0
0.6,qsnn,37,q0_m90_d2_g5,best_ema,1000,2000,-0.25755618928515034,0.015357866781225561,-0.2574462301464113,0.01475135026103461,1.0
0.6,qsnn,37,q0_m90_d2_g5,best_ema,5000,2000,-0.25755618928515034,0.006868246822441249,-0.2575135797206009,0.006848452060958814,1.0
0.6,qsnn,37,q0_m90_d2_g5,best_ema,10000,2000,-0.25755618928515034,0.004856583903011165,-0.2574192554504927,0.004625447362815651,1.0
0.6,vqc,37,v0_d2_g5,best_ema,100,2000,-0.2768894552359761,0.06594532546044972,-0.2767284234542262,0.06531669350633315,0.9895
0.6,vqc,37,v0_d2_g5,best_ema,500,2000,-0.2768894552359761,0.02949164610558264,-0.2775204967161369,0.029850372603480658,1.0
0.6,vqc,37,v0_d2_g5,best_ema,1000,2000,-0.2768894552359761,0.020853742949611318,-0.2780650751415308,0.02063946284936307,1.0
0.6,vqc,37,v0_d2_g5,best_ema,5000,2000,-0.2768894552359761,0.009326077364127576,-0.2765318024480375,0.009177710361404757,1.0
0.6,vqc,37,v0_d2_g5,best_ema,10000,2000,-0.2768894552359761,0.0065945325460449716,-0.2768631869907344,0.006564780985419416,1.0
0.6,qsnn,38,q0_m90_d2_g5,best_ema,100,2000,-0.04609100023151023,0.009607176058464128,-0.046052305247372305,0.009669128747180612,0.995
0.6,qsnn,38,q0_m90_d2_g5,best_ema,500,2000,-0.04609100023151023,0.004296459747706857,-0.046222139526082534,0.004221426691836547,1.0
