angle_degrees,fixed_pauli_measurement,fixed_pauli_success,helstrom_success,noise_model,noise_strength,phase_degrees,qsnn_helstrom_gap,qsnn_min_povm_eigenvalue,qsnn_success,qsnn_success_1024_shots,qsnn_success_128_shots,qsnn_success_512_shots,qsnn_train_seconds,qsnn_weighted_leakage,seed,unitary_helstrom_gap,unitary_success
60.0,X:+->1,0.6642641770155082,0.7375,depolarizing,0.05,37.0,0.0006891010171831136,0.00020359705020786998,0.7368108989828169,0.734375,0.74609375,0.716796875,0.321278799790889,0.00020492853847808856,4,9.992007221626409e-16,0.737499999999999
60.0,X:+->1,0.6556186940146921,0.725,depolarizing,0.1,37.0,0.0006533016428066363,0.00020627402153095462,0.7243466983571933,0.720703125,0.73828125,0.732421875,0.3365478999912739,0.0002075850462870399,0,8.992806499463768e-15,0.724999999999991
60.0,X:+->1,0.6556186940146921,0.725,depolarizing,0.1,37.0,0.0006610511747339176,0.00020631898380067283,0.7243389488252661,0.72607421875,0.71875,0.720703125,0.3289832998998463,0.00020754438873571424,1,4.440892098500626e-16,0.7249999999999995
60.0,X:+->1,0.6556186940146921,0.725,depolarizing,0.1,37.0,0.0006486975804776973,0.00020624200646569322,0.7243513024195223,0.7333984375,0.69921875,0.7314453125,0.3239649999886751,0.00020760872404912423,2,1.1213252548714081e-14,0.7249999999999888
60.0,X:+->1,0.6556186940146921,0.725,depolarizing,0.1,37.0,0.0006094539210345085,0.00020604038264277359,0.7243905460789655,0.73974609375,0.73828125,0.7080078125,0.3181748001370579,0.0002078039422697131,3,3.5416114485542494e-14,0.7249999999999646
60.0,X:+->1,0.6556186940146921,0.725,depolarizing,0.1,37.0,0.0006601245724859872,0.00020632177711579915,0.724339875427514,0.7216796875,0.734375,0.7041015625,0.3126723999157548,0.00020754833546787754,4,1.1102230246251565e-15,0.7249999999999989
60.0,X:+->1,0.6383277280130595,0.7,depolarizing,0.2,37.0,0.0005960856600930597,0.00021197600490617248,0.6994039143399069,0.69580078125,0.73828125,0.70703125,0.3083511001896113,0.00021307219327543203,0,1.2878587085651816e-14,0.6999999999999871
60.0,X:+->1,0.6383277280130595,0.7,depolarizing,0.2,37.0,0.0006029786589392128,0.00021201697857972754,0.6993970213410607,0.701171875,0.6953125,0.6962890625,0.3398245999123901,0.00021304129987781417,1,4.440892098500626e-16,0.6999999999999995
60.0,X:+->1,0.6383277280130595,0.7,depolarizing,0.2,37.0,0.0005919907644531541,0.00021194756702288097,0.6994080092355468,0.70849609375,0.68359375,0.70703125,0.3190969000570476,0.00021309055010831912,2,5.218048215738236e-15,0.6999999999999947
60.0,X:+->1,0.6383277280130595,0.7,depolarizing,0.2,37.0,0.0005570887547921011,0.00021176626291740156,0.6994429112452079,0.71484375,0.72265625,0.681640625,0.31685469998046756,0.00021324321836063698,3,3.6637359812630166e-14,0.6999999999999633
60.0,X:+->1,0.6383277280130595,0.7,depolarizing,0.2,37.0,0.0006021543204937085,0.00021201856814429397,0.6993978456795062,0.67333984375,0.7109375,0.6787109375,0.32667430001311004,0.00021304390274945462,4,3.9968028886505635e-15,0.699999999999996
60.0,X:+->1,0.6210367620114271,0.675,depolarizing,0.3,37.0,0.0005388435041686623,0.00021803169196462195,0.6744611564958314,0.671875,0.71484375,0.68359375,0.31749760010279715,0.00021892705976467308,0,8.43769498715119e-15,0.6749999999999916
60.0,X:+->1,0.6210367620114271,0.675,depolarizing,0.3,37.0,0.0005448787396147292,0.0002180682796986471,0.6744551212603853,0.6767578125,0.671875,0.671875,0.3177516001742333,0.00021890477105845907,1,2.6645352591003757e-15,0.6749999999999974
60.0,X:+->1,0.6210367620114271,0.675,depolarizing,0.3,37.0,0.0005352583552976631,0.00021800681715178027,0.6744647416447024,0.68408203125,0.66015625,0.6826171875,0.3137668000999838,0.00021894059177285374,2,2.220446049250313e-15,0.6749999999999978
60.0,X:+->1,0.6210367620114271,0.675,depolarizing,0.3,37.0,0.0005047020907151811,0.0002178455036811022,0.6744952979092849,0.69091796875,0.703125,0.6572265625,0.3195172999985516,0.00021905406283839746,3,3.097522238704187e-14,0.6749999999999691
60.0,X:+->1,0.6210367620114271,0.675,depolarizing,0.3,37.0,0.0005441569167619065,0.00021806899908304974,0.6744558430832381,0.67236328125,0.6875,0.6708984375,0.32012600009329617,0.00021890632319615522,4,1.0880185641326534e-14,0.6749999999999892
75.0,X:+->1,0.6928556662365557,0.8043807145043603,depolarizing,0.0,37.0,0.0008576955522109353,0.0001904862971102749,0.8035230189521494,0.8154296875,0.8125,0.8095703125,0.31324329995550215,0.00019172926416294311,0,4.773959005888173e-15,0.8043807145043556
75.0,X:+->1,0.6928556662365557,0.8043807145043603,depolarizing,0.0,37.0,0.0008672188203467934,0.00019056331744190917,0.8035134956840135,0.8046875,0.8125,0.80078125,0.32113609998486936,0.00019170552942715524,1,3.9968028886505635e-15,0.8043807145043563
