update,old_loss_mean,new_loss_mean,delta_loss,old_test1_mean,new_test1_mean,delta_test1,old_test2_mean,new_test2_mean,delta_test2,old_test3_mean,new_test3_mean,delta_test3,old_test4_mean,new_test4_mean,delta_test4
43,0.21791041595426813,0.16457182963689168,-0.05333858631737645,0.4804579853952857,0.30580126841863,-0.17465671697665575,0.4449874241537169,0.41290360887845357,-0.03208381527526333,0.9037498452973267,0.9478614171346028,0.0441115718372761,0.9114409351492154,0.9621777017911275,0.05073676664191207
44,0.21648617478584456,0.16363521416982016,-0.0528509606160244,0.47944254953071985,0.30566109120845797,-0.17378145832226188,0.4438831077937349,0.4123657355705897,-0.03151737222314521,0.9049286371705918,0.9486379583676656,0.043709321197073825,0.9126199471960859,0.9628556847572327,0.050235737561146854
45,0.21511610802555253,0.1627333164215088,-0.052382791604043744,0.47847412310608345,0.30553079148133594,-0.1729433316247475,0.4428287434442379,0.41184859375158944,-0.03098014969264845,0.90607158094011,0.9493799885114034,0.043308407571293395,0.9137616496452793,0.9635020573933919,0.049740407748112614
46,0.21379698709132694,0.16186413367589314,-0.0519328534154338,0.4775499552676559,0.30540926903486254,-0.17214068623279338,0.4418213580205575,0.41135054230690005,-0.03047081571365745,0.9071801312110871,0.9500897248586019,0.04290959364751479,0.9148676295570967,0.964119013150533,0.04925138359343639
47,0.21252582359671404,0.16102578242619833,-0.05150004117051571,0.4766674539392799,0.30529553691546124,-0.17137191702381865,0.4408581513755692,0.41087008515993756,-0.02998806621563166,0.9082556505869139,0.9507692734400431,0.04251362285312921,0.9159393720271315,0.964708415667216,0.0487690436400845
48,0.21129985161638337,0.16021652619043986,-0.051083325425943515,0.47582418267595866,0.30518872539202374,-0.17063545728393492,0.4399364937546995,0.4104058434565862,-0.029530650298113303,0.909299423694857,0.9514204581578573,0.042121034463000306,0.9169782747004032,0.965272084871928,0.04829381017152479
49,0.21011651045150306,0.15943479935328167,-0.050681711098221394,0.4750178559098185,0.305088010430336,-0.16992984547948248,0.4390539210967711,0.4099565843741099,-0.029097336722661182,0.9103126679047943,0.9520450393358867,0.04173237143109243,0.9179856590120958,0.9658116499582926,0.04782599094619677
50,0.20897342818780143,0.15867910782496134,-0.050294320362840095,0.47424633301949554,0.3049927309155464,-0.16925360210394913,0.4382081287700219,0.40952115853627524,-0.028686970233746667,0.9112965415028694,0.9526445984840393,0.041348056981169834,0.9189627789018052,0.9663286010424296,0.04736582214062435
51,0.20786840622463168,0.15794816414515178,-0.0499202420794799,0.4735076115958916,0.3049022302031517,-0.1686053813927399,0.4373969642411656,0.4090985894203186,-0.02829837482084696,0.9122521499310537,0.9532206177711486,0.04096846784009489,0.9199108275994609,0.9668243010838826,0.046913473484421764
52,0.2067994048674832,0.15724061727523803,-0.04955878759224516,0.4727998202144316,0.3048159177104632,-0.16798390250396844,0.43661841908369003,0.4086879014968872,-0.027930517586802817,0.9131805505744244,0.9537744561831156,0.04059390560869125,0.920830942954264,0.9672999938329061,0.04646905087864206
53,0.20576453001450756,0.15655535062154133,-0.049209179392966235,0.4721212109632885,0.3047333131233851,-0.16738789783990343,0.4358706206469481,0.4082882344722748,-0.02758238617467329,0.914082756470513,0.9543073693911235,0.040224612920610525,0.9217242116728512,0.9677569309870402,0.04603271931418895
54,0.20476202092485765,0.15589123169581096,-0.048870789229046696,0.47147015192222025,0.3046539535125097,-0.16681619840971057,0.43515182363346105,0.40789880355199176,-0.027253020081469292,0.9149597392277041,0.9548205176989237,0.039860778471219604,0.9225916727475793,0.9681960940361023,0.045604421288523045
55,0.20379023902851962,0.1552472670873006,-0.04854297194121901,0.4708451197392922,0.30457743952671684,-0.16626768021257537,0.4344604017693023,0.40751890738805135,-0.02694149438125093,0.9158124313698974,0.9553149859110515,0.039502554541154034,0.9234343202878671,0.9686185479164123,0.04518422762854524
56,0.20284765772004823,0.15462247530619302,-0.048225182413855205,0.4702446924131588,0.30450339963038764,-0.16574129278277117,0.43379483970114463,0.40714789032936094,-0.02664694937178369,0.9166417282698102,0.9557917833328247,0.0391500550630145,0.9242531059141808,0.969025198618571,0.0447720927043902
57,0.2019328530691886,0.15401601791381836,-0.047916835155370235,0.4696675423563465,0.30443150252103807,-0.16523603983530843,0.4331537252124875,0.40678512752056123,-0.026368597691926288,0.9174484897907583,0.9562518278757731,0.038803338085014794,0.9250489408328978,0.9694169163703918,0.04436797553749405
58,0.2010444953774057,0.15342700481414795,-0.04761749056325776,0.46911242978932255,0.30436146557331084,-0.1647509642160117,0.4325357418193757,0.4064300745725632,-0.026105667246812514,0.9182335417241805,0.9566959857940673,0.03846244406988686,0.9258226976786568,0.969794507821401,0.043971810142744205
